LiteratureID,ReferenceCount,AuthorCount,FundingAgencyCount
85105203876,19,3,0
85105263137,88,10,1
85105382759,19,3,0
85105442582,32,5,2
85105516303,39,4,0
85105556101,21,5,3
85105573619,35,8,1
85105599444,113,3,12
85105667803,72,1,0
85105802358,26,1,0
85105851194,91,3,1
85105932736,37,5,5
85105956917,62,9,2
85106010950,52,7,3
85106183437,35,7,1
85106192234,20,4,0
85106248013,39,3,6
85106273182,14,5,3
85106315159,65,4,2
85106320636,8,2,0
85106361369,33,4,0
85106363377,5,7,1
85106489006,64,8,4
85106540645,22,8,0
85106601487,24,4,1
85106607009,52,3,0
85106713467,12,4,1
85106876266,20,3,1
85106888680,45,2,1
85107049387,97,6,4
85107229225,24,5,2
85107273370,37,6,2
85107350224,87,2,0
85107482302,47,3,1
85107510098,0,4,0
85107531109,50,3,1
85107551693,10,7,0
85107561210,83,8,4
85107563807,34,5,2
85107607727,7,1,1
85107721220,10,2,2
85107855740,36,30,15
85107864752,39,3,2
85107865575,27,2,1
85107964056,3,2,0
85107973676,46,6,12
85107980378,13,4,0
85108064972,21,6,1
85108068840,45,3,1
85108097013,168,164,6
85108143707,88,4,2
85108163489,16,2,0
85108192115,31,6,3
85108219142,50,6,4
85108303430,93,28,2
85108330388,17,3,1
85108346139,120,3,6
85108600970,59,7,2
85108605180,39,9,1
85108784665,68,3,1
85108810501,60,4,2
85108908811,42,2315,78
85108919768,32,1,0
85108965899,49,8,1
85109000124,30,44,0
85109031039,38,4,1
85109072402,25,6,4
85109125980,46,23,4
85109136526,30,4,2
85109269256,28,7,5
85109581227,12,2,2
85109645961,54,5,2
85109722218,69,3,4
85109827725,27,14,13
85109941961,38,5,3
85109976345,61,2,1
85110104784,21,5,0
85110112677,41,8,2
85110292793,28,8,2
85110299405,49,3,2
85110356902,13,6,0
85110493153,73,6,0
85110685282,21,8,2
85110697664,36,4,2
85110738803,46,15,5
85110743510,45,3,6
85110751606,85,2,3
85111025787,40,5,3
85111050451,102,11,2
85111052516,33,2,0
85111159161,24,3,0
85111240487,47,2,1
85111346253,37,10,3
85111352325,37,4,0
85111533897,54,11,1
85111557523,78,7,2
85111558326,29,20,0
85111665342,51,7,1
85111810698,25,6,3
85111925272,78,10,1
85111946546,53,10,4
85112037999,19,3,1
85112057474,56,7,11
85112058234,30,11,3
85112113039,52,3,1
85112131168,71,6,3
85112198657,0,10,0
85112283891,0,2,0
85112353752,24,2,0
85112373148,10,2,0
85112493295,54,3,4
85112610102,39,2,0
85112751314,17,16,0
85112784137,31,6,7
85112795228,44,3,7
85112802995,8,2,0
85112848005,14,3,0
85113198185,104,2349,103
85113262462,56,7,2
85113352937,90,3,0
85113404517,55,4,2
85113497033,32,4,2
85113520020,27,4,4
85113535269,75,10,13
85113728349,48,9,3
85113784835,35,5,3
85113792304,5,3,1
85113812490,24,7,4
85113865210,34,2,0
85113903667,50,8,6
85113922768,10,6,0
85114042056,27,6,3
85114100452,1,4,0
85114147126,31,1,0
85114167023,36,6,2
85114197485,43,4,3
85114333700,2,3,0
85114367730,40,6,3
85114419200,42,6,6
85114453441,38,3,0
85114459930,35,3,2
85114663711,19,3,2
85114667376,51,9,3
85114725139,35,2,0
85114740684,36,15,0
85114788897,18,4,0
85114789198,43,5,6
85114796109,29,6,1
85115079568,40,6,0
85115116426,58,13,4
85115268694,41,1,2
85115279177,17,136,6
85115348501,24,5,0
85115616726,74,5,6
85115621094,27,3,1
85115633993,46,9,0
85115651157,55,12,4
85115707699,29,1,0
85115776466,13,3,0
85116025431,15,2,0
85116114409,42,5,1
85116240570,42,3,1
85116276999,18,8,2
85116324952,48,4,0
85116440953,42,5,2
85116459753,74,4,4
85116533652,47,4,2
85116624627,61,3,1
85116685348,60,1,1
85116714628,34,5,6
85116855300,39,5,1
85116857847,54,3,4
85116928599,55,3,0
85117098397,26,5,2
85117178352,19,7,6
85117225287,62,8,3
85117348761,0,12,0
85117393690,57,4,1
85117397654,80,6,1
85117425880,7,16,1
85117503838,186,7,0
85117510252,65,5,3
85117619025,40,2,3
85117703305,53,3,2
85117720424,0,2,0
85117734074,20,5,2
85117835446,37,5,2
85118155391,32,6,5
85118228599,33,8,4
85118231834,39,2334,1
85118275963,36,9,1
85118301464,20,2,2
85118311286,392,4,0
